timestamp,dwell_time,flight_time,anomaly_score
2026-05-23 10:36:49.030,119.37,136.73,0.1952
2026-05-23 10:36:53.570,175.01,205.72,0.8726
2026-05-23 10:36:54.150,116.34,128.92,0.2184
2026-05-23 10:37:03.218,98.36,102.03,0.6842
2026-05-23 10:36:58.192,145.24,144.71,0.939
2026-05-23 10:36:57.471,157.26,127.44,-0.2507
2026-05-23 10:37:15.579,124.11,194.06,0.3143
2026-05-23 10:37:18.482,109.58,42.39,0.357
2026-05-23 10:37:07.702,100.72,143.01,0.8926
2026-05-23 10:37:09.094,120.78,201.41,0.3129
2026-05-23 10:37:27.155,123.55,182.82,0.3895
2026-05-23 10:37:36.676,101.77,161.66,0.5559
2026-05-23 10:37:18.883,125.97,212.44,0.8421
2026-05-23 10:37:20.773,115.27,226.0,0.77
2026-05-23 10:37:26.259,131.61,219.85,0.5443
2026-05-23 10:38:15.498,100.7,168.91,0.3365
2026-05-23 10:37:40.284,78.87,160.12,0.257
2026-05-23 10:37:34.187,140.25,180.98,0.568
2026-05-23 10:37:53.083,146.01,150.36,0.4972
2026-05-23 10:38:21.283,135.71,112.08,0.8385
2026-05-23 10:38:03.464,102.43,162.98,0.5328
2026-05-23 10:37:49.357,60.48,89.67,0.7884
2026-05-23 10:38:10.117,112.84,76.75,0.667
2026-05-23 10:37:35.128,112.38,126.95,0.6189
2026-05-23 10:38:21.493,79.4,134.94,0.7522
2026-05-23 10:38:57.971,135.48,226.35,0.877
2026-05-23 10:38:13.610,131.58,133.42,0.9008
2026-05-23 10:37:40.893,131.4,127.87,0.5141
2026-05-23 10:39:07.930,102.96,220.68,0.472
2026-05-23 10:39:19.018,81.85,169.78,0.8165
2026-05-23 10:39:16.143,121.59,168.95,0.4932
2026-05-23 10:39:00.223,94.05,86.88,0.8852
2026-05-23 10:39:46.721,137.91,126.55,0.4548
2026-05-23 10:38:20.442,122.43,137.88,0.587
2026-05-23 10:38:22.872,139.97,200.46,0.3352
2026-05-23 10:39:07.445,150.46,142.31,0.1931
2026-05-23 10:39:41.510,98.92,129.02,0.886
2026-05-23 10:40:24.082,117.73,155.68,0.7354
2026-05-23 10:39:20.164,125.24,180.07,0.4715
2026-05-23 10:39:53.220,105.78,169.62,0.2834
2026-05-23 10:39:57.473,144.61,129.91,0.5348
